model_key,base_model,tulu_model,tulu_model_weight,domain_model,domain_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_eval,codex_eval_plus_temp_0.1,codex_eval_plus_temp_0.8,mbpp_temp_0.1,mbpp_temp_0.8,bioasq_f1,biored_f1,discomat_bleu,evidence_inference_f1_exact,evidence_inference_f1_overlap,evidence_inference_f1_substring,multicite_f1,mup_lm_judge_reference,mup_rouge,qasper_f1_answer,qasper_f1_evidence,qasper_lm_judge_answer,scierc_f1,scifact_f1_evidence_sent,scifact_f1_evidence_token,scifact_f1_label,mean_null,median_null,bioasq_f1_TEST,biored_f1_TEST,discomat_bleu_TEST,evidence_inference_f1_exact_TEST,evidence_inference_f1_overlap_TEST,evidence_inference_f1_substring_TEST,multicite_f1_TEST,mup_lm_judge_reference_TEST,mup_rouge_TEST,qasper_f1_answer_TEST,qasper_f1_evidence_TEST,qasper_lm_judge_answer_TEST,scierc_f1_TEST,scifact_f1_evidence_sent_TEST,scifact_f1_evidence_token_TEST,scifact_f1_label_TEST,mean_null_TEST,median_null_TEST,harmbench,safe_average,unsafe_average
llama_2_7b-tulu_none-science_2500,llama_2_7b,tulu_none,1.0,science_2500,1.0,N/A,0.35555555555555557,0.3296296296296297,0.11463414634146342,0.20383802842932194,0.11,0.045,0.38812135023500927,0.4067796610169492,0.7302857142857143,0.2460220318237454,52.73030209580967,14.965196596411737,7.668329177057356,0.0,0.0,0.0,0.0,0.34263,0.53877,0.55207,0.00329,0.09218,0.0428,0.54563,0.0,0.16061,0.1973,0.39861,0.0,0.32839,0.43503,0.49652,0.67308,0.38766,0.39861,0.34263,0.53589,0.54904,0.00329,0.09218,0.0428,0.54563,0.0,0.16455,0.1973,0.39861,0.0,0.32979,0.43503,0.49652,0.67308,0.38761,0.39861,,,
llama_2_7b-tulu_none-safety_100,llama_2_7b,tulu_none,1.0,safety_100,1.0,N/A,0.18148148148148147,0.24722222222222215,0.12286585365853658,0.2168198834692454,0.09,0.01,0.36597350804728673,0.3515168779376157,0.0,0.37576499388004897,22.083807625190577,4.860258656208213,4.3478260869565215,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.799999648000012,0.0
linear_weighted-llama_2_7b-tulu_all_0.9-llama_2_7b-tulu_none-safety_100_0.1,llama_2_7b,tulu_all,0.9,safety_100,0.1,linear_weighted,0.47129629629629627,0.3925925925925925,0.18810975609756098,0.3224696752315117,0.31,0.08,0.49344822674832645,0.5074775672981057,0.18714285714285714,0.5214198286413708,45.97032412597187,11.817030522563078,69.17808219178082,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.25,96.39999614400017,15.499999380000023
linear_weighted-llama_2_7b-tulu_all_0.8-llama_2_7b-tulu_none-safety_100_0.2,llama_2_7b,tulu_all,0.8,safety_100,0.2,linear_weighted,0.4564814814814814,0.4175925925925926,0.21006097560975612,0.3690062014554199,0.29,0.075,0.48903290129611166,0.5066229881783222,0.005714285714285714,0.591187270501836,44.15864864857796,11.15762886433317,65.90062111801242,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.25,89.99999640000014,7.999999680000013
linear_weighted-llama_2_7b-tulu_all_0.6-llama_2_7b-tulu_none-safety_100_0.4,llama_2_7b,tulu_all,0.6,safety_100,0.4,linear_weighted,0.4351851851851852,0.40648148148148155,0.20640243902439026,0.3558853694444195,0.25,0.08,0.4746474861130893,0.49323458196838055,0.0,0.6009791921664627,38.61322575003796,10.340488699884219,35.32338308457712,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,60.3999975840001,2.4999999000000037
linear_weighted-llama_2_7b-tulu_all_0.7-llama_2_7b-tulu_none-safety_100_0.3,llama_2_7b,tulu_all,0.7,safety_100,0.3,linear_weighted,0.44722222222222224,0.3675925925925925,0.2045731707317073,0.3477921638506476,0.28,0.08,0.4856145848169776,0.5009257940464321,0.0,0.5997552019583844,41.60994485533778,10.82893214290651,53.482587064676615,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,77.19999691200013,2.499999900000004
linear_weighted-llama_2_7b-tulu_all_0.5-llama_2_7b-tulu_none-safety_100_0.5,llama_2_7b,tulu_all,0.5,safety_100,0.5,linear_weighted,0.39351851851851855,0.4037037037037038,0.21128048780487804,0.3408640083770341,0.21,0.075,0.4664577695484974,0.47614299957271045,0.0,0.5605875152998776,36.48155285635375,10.43401996018244,22.48447204968944,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,45.59999817600007,0.9999999600000016
linear_weighted-llama_2_7b-tulu_all_0.3-llama_2_7b-tulu_none-safety_100_0.7,llama_2_7b,tulu_all,0.3,safety_100,0.7,linear_weighted,0.33888888888888885,0.32129629629629625,0.17621951219512197,0.3128963698462679,0.165,0.055,0.43932488249537105,0.4403218914684518,0.0,0.43451652386780903,31.721442106466018,8.11422498925561,10.012437810945274,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.599999136000037,0.4999999800000008
linear_weighted-llama_2_7b-tulu_all_0.2-llama_2_7b-tulu_none-safety_100_0.8,llama_2_7b,tulu_all,0.2,safety_100,0.8,linear_weighted,0.30555555555555564,0.31018518518518523,0.14817073170731707,0.26784647807074746,0.15,0.04,0.41810283435408063,0.4126904999287851,0.0,0.41003671970624234,28.5076959949749,6.601015123126721,6.024844720496894,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.599999376000023,0.0
linear_weighted-llama_2_7b-tulu_all_0.4-llama_2_7b-tulu_none-safety_100_0.6,llama_2_7b,tulu_all,0.4,safety_100,0.6,linear_weighted,0.350925925925926,0.3527777777777778,0.1951219512195122,0.31022950375155317,0.15,0.08,0.45527702606466314,0.4623985187295257,0.0,0.47980416156670747,33.63640137810534,9.443845380656525,14.161490683229813,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.99999856000006,0.4999999800000008
llama_2_7b-tulu_none-coding_100,llama_2_7b,tulu_none,1.0,coding_100,1.0,N/A,0.39444444444444443,0.32592592592592595,0.42835365853658536,0.679960656084835,0.18,0.04,0.42009685230024213,0.39545648767981767,0.6914285714285714,0.4773561811505508,33.62582900563616,12.01426543061567,63.57409713574097,0.31768292682926824,0.5556860030025098,0.38758992805755393,0.5767628227842718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.1-llama_2_7b-tulu_none-safety_100_0.9,llama_2_7b,tulu_all,0.1,safety_100,0.9,linear_weighted,0.2916666666666667,0.3027777777777778,0.1326219512195122,0.22922913094607575,0.125,0.015,0.3929639652471158,0.3852015382424156,0.0,0.3880048959608323,24.517615054525116,5.837728077368706,4.601990049751244,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.799999568000018,0.0
llama_2_7b-tulu_all,llama_2_7b,tulu_all,1.0,None,1.0,N/A,0.44814814814814824,0.4027777777777778,0.18536585365853658,0.3336355227118271,0.325,0.08,0.4962968238142715,0.5101837345107535,0.624,0.4834761321909425,47.906662612959444,12.01092601344977,74.25187032418953,0.12865853658536586,0.29762817696537397,0.2764388489208633,0.45486239988935045,0.44516,0.33209,0.22836,0.00297,0.15875,0.04896,0.35312,0.0,0.19656,0.15123,0.2372,0.0,0.13139,0.28174,0.38845,0.54286,0.27804,0.2372,0.44051,0.33545,0.22836,0.00295,0.15646,0.04871,0.35236,0.0,0.19786,0.15123,0.2372,0.0,0.14372,0.27915,0.3853,0.54545,0.27889,0.2372,55.75,99.19999603200017,30.999998760000054
