task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,bleu,bleu,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
linear_weighted-llama_2_7b-tulu_all_0.0-science_100_1.0,0.31064,0.50372,0.56150,0.00000,0.01818,0.00909,0.37171,0.08200,0.02457,0.00000,0.28571,0.20253,0.25139,0.37126,0.24835,0.28571
linear_weighted-llama_2_7b-tulu_all_0.0-science_200_1.0,0.28972,0.53174,0.57161,0.00000,0.00582,0.00291,0.48977,0.09969,0.11877,0.00000,0.34372,0.33434,0.38632,0.55363,0.30353,0.33434
linear_weighted-llama_2_7b-tulu_all_0.0-science_500_1.0,0.36175,0.59427,0.52279,0.00000,0.00979,0.00979,0.47788,0.26053,0.12835,0.20867,0.37883,0.39323,0.45646,0.58515,0.35648,0.37883
linear_weighted-llama_2_7b-tulu_all_0.0-science_1000_1.0,0.34437,0.61871,0.56070,0.00000,0.00284,0.00284,0.54415,0.26417,0.06088,0.09096,0.35614,0.41551,0.47902,0.56716,0.34778,0.35614
linear_weighted-llama_2_7b-tulu_all_0.0-science_2500_1.0,0.34553,0.53942,0.52249,0.00000,0.00521,0.00260,0.54563,0.18741,0.07692,0.14812,0.32979,0.42941,0.47041,0.66010,0.34455,0.34553
linear_weighted-llama_2_7b-tulu_all_1.0-science_100_0.0,0.30522,0.15135,0.35319,0.00000,0.03070,0.00000,0.33544,0.25433,0.00000,0.00000,0.21218,0.26122,0.34682,0.47423,0.21617,0.25433
linear_weighted-llama_2_7b-tulu_all_1.0-science_200_0.0,0.30522,0.15135,0.35319,0.00000,0.03070,0.00000,0.33544,0.25433,0.00000,0.00000,0.21218,0.26122,0.34682,0.47423,0.21617,0.25433
linear_weighted-llama_2_7b-tulu_all_1.0-science_500_0.0,0.30522,0.15135,0.35319,0.00000,0.03070,0.00000,0.33544,0.25433,0.00000,0.00000,0.21218,0.26122,0.34682,0.47423,0.21617,0.25433
linear_weighted-llama_2_7b-tulu_all_1.0-science_1000_0.0,0.30522,0.15135,0.35319,0.00000,0.03070,0.00000,0.33544,0.25433,0.00000,0.00000,0.21218,0.26122,0.34682,0.47423,0.21617,0.25433
linear_weighted-llama_2_7b-tulu_all_1.0-science_2500_0.0,0.30522,0.15135,0.35319,0.00000,0.03070,0.00000,0.33544,0.25433,0.00000,0.00000,0.21218,0.26122,0.34682,0.47423,0.21617,0.25433
dare_linear-llama_2_7b-tulu_all_0.0-science_500_1.0,0.36175,0.59427,0.52279,0.00000,0.00979,0.00979,0.47788,0.26053,0.12835,0.20867,0.37883,0.39323,0.45646,0.58515,0.35648,0.37883
dare_linear-llama_2_7b-tulu_all_0.0-science_1000_1.0,0.34437,0.61871,0.56070,0.00000,0.00284,0.00284,0.54415,0.26417,0.06088,0.09096,0.35614,0.41551,0.47902,0.56716,0.34778,0.35614
dare_linear-llama_2_7b-tulu_all_0.0-science_2500_1.0,0.34553,0.53942,0.52249,0.00000,0.00521,0.00260,0.54563,0.18741,0.07692,0.14812,0.32979,0.42941,0.47041,0.66010,0.34455,0.34553
dare_linear-llama_2_7b-tulu_all_1.0-science_500_0.0,0.30522,0.15135,0.35319,0.00000,0.03070,0.00000,0.33544,0.25433,0.00000,0.00000,0.21218,0.26122,0.34682,0.47423,0.21617,0.25433
dare_linear-llama_2_7b-tulu_all_1.0-science_1000_0.0,0.30522,0.15135,0.35319,0.00000,0.03070,0.00000,0.33544,0.25433,0.00000,0.00000,0.21218,0.26122,0.34682,0.47423,0.21617,0.25433
dare_linear-llama_2_7b-tulu_all_1.0-science_2500_0.0,0.30522,0.15135,0.35319,0.00000,0.03070,0.00000,0.33544,0.25433,0.00000,0.00000,0.21218,0.26122,0.34682,0.47423,0.21617,0.25433
