task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,bleu,bleu,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
linear_weighted-llama_2_7b-tulu_all_0.1-science_1000_0.9,0.34599,0.66041,0.55450,0.00000,0.00797,0.01328,0.54518,0.01058,0.06566,0.36570,0.44103,0.49815,0.62100,0.36180,0.40336
linear_weighted-llama_2_7b-tulu_all_0.1-science_100_0.9,0.32889,0.55969,0.55634,0.00000,0.02504,0.01610,0.37168,0.00269,0.01878,0.27946,0.27273,0.32409,0.52133,0.29366,0.30417
linear_weighted-llama_2_7b-tulu_all_0.1-science_200_0.9,0.28767,0.55428,0.56044,0.00000,0.00581,0.00581,0.48747,0.00283,0.02963,0.34537,0.33555,0.38846,0.55052,0.31596,0.34046
linear_weighted-llama_2_7b-tulu_all_0.1-science_2500_0.9,0.34874,0.58918,0.53256,0.00000,0.02184,0.01214,0.54416,0.00716,0.08816,0.32538,0.43213,0.50776,0.67925,0.35686,0.39044
linear_weighted-llama_2_7b-tulu_all_0.1-science_500_0.9,0.37782,0.57316,0.54382,0.00000,0.01980,0.01760,0.47281,0.00956,0.15593,0.39777,0.41290,0.47869,0.58723,0.35508,0.40534
linear_weighted-llama_2_7b-tulu_all_0.2-science_1000_0.8,0.39648,0.66765,0.55157,0.00000,0.00718,0.01196,0.53459,0.01209,0.06577,0.34828,0.46829,0.52059,0.65487,0.37068,0.43238
linear_weighted-llama_2_7b-tulu_all_0.2-science_100_0.8,0.33260,0.57380,0.55778,0.00000,0.03654,0.01661,0.35924,0.00265,0.01367,0.29060,0.31311,0.36352,0.55967,0.30397,0.32286
linear_weighted-llama_2_7b-tulu_all_0.2-science_200_0.8,0.31169,0.56818,0.57288,0.00000,0.00298,0.00298,0.48125,0.00258,0.02256,0.33505,0.34432,0.40603,0.55245,0.31939,0.33968
linear_weighted-llama_2_7b-tulu_all_0.2-science_2500_0.8,0.35294,0.59242,0.52951,0.00000,0.02299,0.02299,0.53601,0.00858,0.08317,0.34162,0.44321,0.51412,0.69811,0.36086,0.39808
linear_weighted-llama_2_7b-tulu_all_0.2-science_500_0.8,0.37069,0.62354,0.54700,0.00000,0.02760,0.02335,0.45468,0.01052,0.12638,0.36522,0.41667,0.48085,0.62041,0.35627,0.39368
linear_weighted-llama_2_7b-tulu_all_0.3-science_1000_0.7,0.37500,0.68978,0.53802,0.00000,0.02514,0.03200,0.51555,0.01283,0.05678,0.33794,0.47642,0.50908,0.67511,0.37026,0.42571
linear_weighted-llama_2_7b-tulu_all_0.3-science_100_0.7,0.31746,0.58534,0.53526,0.00000,0.04521,0.02650,0.34047,0.00290,0.01402,0.29588,0.30713,0.37055,0.55253,0.29962,0.31230
linear_weighted-llama_2_7b-tulu_all_0.3-science_200_0.7,0.34025,0.61137,0.56662,0.00000,0.00288,0.00288,0.46994,0.00347,0.01550,0.33472,0.32950,0.40593,0.55944,0.32337,0.33748
linear_weighted-llama_2_7b-tulu_all_0.3-science_2500_0.7,0.33255,0.62568,0.51134,0.00000,0.02714,0.03132,0.52400,0.01040,0.04872,0.32563,0.42659,0.49144,0.68837,0.35204,0.37957
linear_weighted-llama_2_7b-tulu_all_0.3-science_500_0.7,0.35269,0.62698,0.53703,0.00000,0.03607,0.03407,0.43125,0.01167,0.07300,0.34385,0.40336,0.46939,0.64542,0.34613,0.37802
linear_weighted-llama_2_7b-tulu_all_0.4-science_1000_0.6,0.37387,0.67972,0.53229,0.00000,0.03115,0.03531,0.49003,0.01143,0.03552,0.31991,0.46118,0.50061,0.68313,0.36182,0.41753
