model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm
llama_2_7b-tulu_all-safety_none,llama_2_7b,tulu_all,1.0,safety_none,1.0,N/A,0.44629629629629625,0.37129629629629624,0.20304878048780486,0.36920290122925475,0.33,0.075,0.4888192565161658,0.5045577553055121,0.5928571428571429,0.47368421052631576,47.44182914035219,13.424108453002123,0.0
tulu_2_7b_uncensored-tulu_none-safety_v1_all,tulu_2_7b_uncensored,tulu_none,0.0,safety_v1_all,1.0,N/A,0.39166666666666655,0.3212962962962963,0.19054878048780488,0.3833072651127472,0.095,0.005,0.4714428144139012,0.4819826235578977,0.0,0.3635250917992656,28.878872445136974,7.359906942909152,0.0
tulu_2_7b_uncensored-tulu_none-safety_all,tulu_2_7b_uncensored,tulu_none,0.0,safety_all,1.0,N/A,0.3861111111111111,0.37870370370370376,0.19207317073170732,0.33762351161637577,0.245,0.06,0.45328300811850164,0.4789915966386555,0.0,0.38310893512851896,30.025572859328626,6.475603557748361,0.0
tulu-2-7b-safety-tulu-matched-adapt-3-epochs-real,tulu,2,1.0,7b,1.0,N/A,0.4722222222222222,0.40277777777777773,0.21920731707317076,0.3870050888475716,0.325,0.07,0.5006409343398376,0.5126762569434553,0.0,0.5250917992656059,48.28244837147685,12.96909712583404,0.0
tulu-2-7b-bottom25-adapt-3-epochs,tulu,2,1.0,7b,1.0,N/A,0.4648148148148148,0.3898148148148149,0.22743902439024394,0.3555521349450217,0.335,0.06,0.5026349522859992,0.5122489673835636,0.046857142857142854,0.5079559363525091,48.540858298929756,12.92308586719939,0.0
tulu-2-7b-safety-adapt-1-epochs-real,tulu,2,1.0,7b,1.0,N/A,0.45185185185185195,0.387962962962963,0.22530487804878047,0.38858650882455914,0.34,0.06,0.5019940179461615,0.512533827090158,0.031,0.49571603427172584,48.49368702557004,12.710860780755315,0.0
tulu-2-7b-uncensored-safety-adapt-1-epochs-real,tulu,2,1.0,7b,1.0,N/A,0.4648148148148149,0.38240740740740736,0.22865853658536586,0.3898325160831768,0.34,0.06,0.5007121492664862,0.5123913972368609,0.023571428571428573,0.5091799265605875,48.378603423389656,12.72916693735644,0.0
tulu-2-7b-uncensored-safety-v0.1-contrastive-1-epoch,tulu,2,1.0,7b,1.0,N/A,0.4388888888888889,0.3805555555555556,0.22408536585365854,0.3658151436647623,0.345,0.065,0.5035607463324313,0.5124626121635095,0.006571428571428572,0.4981640146878825,48.49853197933473,12.713894197632278,0.0
tulu-2-7b-safety-v0.1-contrastive-1-epoch,tulu,2,1.0,7b,1.0,N/A,0.48518518518518533,0.3851851851851852,0.22682926829268293,0.3788634013800139,0.34,0.065,0.4996439253667569,0.5108958837772397,0.016428571428571428,0.5018359853121175,48.454691073225916,13.044661134259933,0.0
tulu-2-7b-only-contrastive-1-epoch,tulu,2,1.0,7b,1.0,N/A,0.4675925925925926,0.40648148148148144,0.23292682926829267,0.3629971553780359,0.335,0.06,0.5026349522859992,0.512177752456915,0.056428571428571425,0.5104039167686658,48.17673238450264,12.669806776468185,0.0
tulu-2-7b-uncensored-only-contrastive-1-epoch,tulu,2,1.0,7b,1.0,N/A,0.4611111111111112,0.38611111111111107,0.22926829268292684,0.36064540496126996,0.345,0.06,0.5029198119925936,0.5130323315766985,0.06028571428571428,0.5030599755201959,48.19419185810247,12.709860311964002,0.0
