task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,bleu,bleu,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
llama_2_7b-0.975-tulu_only-0.025-science_200,0.05,0.22,0.05,0.00,0.04,0.01,0.39,0.02,0.04,0.05,0.09,0.22,0.50,0.14,0.05
llama_2_7b-0.1-tulu_only-0.9-science_200,0.40,0.35,0.41,0.00,0.00,0.00,0.45,0.01,0.08,0.26,0.04,0.06,0.08,0.21,0.17
llama_2_7b-0.2-tulu_only-0.8-science_200,0.42,0.42,0.42,0.00,0.00,0.00,0.48,0.01,0.08,0.27,0.15,0.20,0.37,0.26,0.32
llama_2_7b-0.3-tulu_only-0.7-science_200,0.45,0.54,0.39,0.00,0.00,0.00,0.50,0.01,0.08,0.25,0.25,0.31,0.54,0.30,0.32
llama_2_7b-0.4-tulu_only-0.6-science_200,0.45,0.54,0.38,0.00,0.00,0.00,0.51,0.01,0.08,0.27,0.28,0.35,0.57,0.31,0.33
llama_2_7b-0.5-tulu_only-0.5-science_200,0.43,0.56,0.35,0.00,0.03,0.01,0.51,0.02,0.07,0.25,0.31,0.37,0.55,0.31,0.33
llama_2_7b-0.6-tulu_only-0.4-science_200,0.41,0.54,0.30,0.00,0.05,0.04,0.49,0.02,0.05,0.25,0.29,0.36,0.55,0.30,0.30
llama_2_7b-0.7-tulu_only-0.3-science_200,0.38,0.51,0.28,0.00,0.04,0.01,0.48,0.02,0.06,0.22,0.26,0.36,0.54,0.28,0.27
llama_2_7b-0.8-tulu_only-0.2-science_200,0.33,0.43,0.31,0.00,0.04,0.01,0.47,0.02,0.06,0.16,0.24,0.35,0.54,0.26,0.27
llama_2_7b-0.9-tulu_only-0.1-science_200,0.18,0.33,0.08,0.00,0.04,0.01,0.46,0.01,0.05,0.10,0.15,0.25,0.51,0.19,0.13
llama_2_7b-0.1-tulu_only-0.9-science_1000,0.41,0.46,0.00,0.00,0.00,0.00,0.38,0.01,0.10,0.31,0.08,0.10,0.17,0.19,0.14
llama_2_7b-0.2-tulu_only-0.8-science_1000,0.42,0.55,0.00,0.00,0.00,0.00,0.38,0.01,0.09,0.31,0.19,0.24,0.31,0.23,0.25
llama_2_7b-0.3-tulu_only-0.7-science_1000,0.37,0.59,0.00,0.00,0.00,0.00,0.41,0.00,0.11,0.29,0.27,0.31,0.44,0.25,0.28
llama_2_7b-0.4-tulu_only-0.6-science_1000,0.48,0.63,0.14,0.00,0.00,0.00,0.46,0.00,0.08,0.26,0.33,0.38,0.59,0.30,0.30
llama_2_7b-0.5-tulu_only-0.5-science_1000,0.45,0.61,0.37,0.00,0.00,0.00,0.49,0.01,0.06,0.25,0.37,0.43,0.64,0.32,0.37
llama_2_7b-0.6-tulu_only-0.4-science_1000,0.43,0.58,0.35,0.00,0.03,0.02,0.49,0.02,0.06,0.20,0.35,0.41,0.59,0.31,0.35
llama_2_7b-0.7-tulu_only-0.3-science_1000,0.41,0.44,0.35,0.00,0.04,0.02,0.48,0.02,0.06,0.21,0.29,0.39,0.58,0.29,0.32
llama_2_7b-0.8-tulu_only-0.2-science_1000,0.31,0.35,0.33,0.00,0.04,0.02,0.46,0.02,0.05,0.15,0.26,0.37,0.55,0.25,0.29
llama_2_7b-0.9-tulu_only-0.1-science_1000,0.22,0.33,0.08,0.00,0.03,0.01,0.43,0.01,0.05,0.10,0.17,0.29,0.53,0.20,0.14
llama_2_7b-0.1-tulu_only-0.9-science_2500,0.47,0.57,0.42,0.00,0.00,0.00,0.53,0.01,0.09,0.28,0.39,0.44,0.67,0.34,0.41
llama_2_7b-0.2-tulu_only-0.8-science_2500,0.51,0.59,0.43,0.00,0.00,0.00,0.53,0.01,0.10,0.27,0.42,0.48,0.69,0.35,0.42
llama_2_7b-0.3-tulu_only-0.7-science_2500,0.50,0.61,0.41,0.00,0.00,0.00,0.53,0.01,0.10,0.26,0.42,0.48,0.70,0.35,0.41
llama_2_7b-0.4-tulu_only-0.6-science_2500,0.48,0.60,0.39,0.00,0.00,0.00,0.54,0.01,0.09,0.25,0.38,0.48,0.71,0.35,0.39
llama_2_7b-0.5-tulu_only-0.5-science_2500,0.47,0.59,0.38,0.00,0.00,0.00,0.54,0.01,0.09,0.23,0.38,0.47,0.69,0.34,0.38
llama_2_7b-0.6-tulu_only-0.4-science_2500,0.43,0.53,0.36,0.00,0.05,0.02,0.53,0.02,0.09,0.20,0.34,0.43,0.66,0.32,0.35
llama_2_7b-0.7-tulu_only-0.3-science_2500,0.40,0.38,0.34,0.00,0.05,0.02,0.51,0.02,0.05,0.19,0.30,0.40,0.61,0.28,0.32
llama_2_7b-0.8-tulu_only-0.2-science_2500,0.35,0.29,0.31,0.00,0.06,0.02,0.48,0.02,0.05,0.15,0.27,0.39,0.56,0.25,0.28
llama_2_7b-0.84-tulu_only-0.16-science_2500,0.32,0.30,0.21,0.00,0.05,0.01,0.47,0.02,0.04,0.12,0.26,0.38,0.55,0.23,0.24
llama_2_7b-0.9-tulu_only-0.1-science_2500,0.24,0.31,0.05,0.00,0.04,0.01,0.46,0.01,0.04,0.08,0.19,0.31,0.53,0.20,0.14
