task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,bleu,bleu,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
llama_2_7b-0.1-tulu_only-0.9-science_1000,0.41,0.50,0.01,0.00,0.00,0.00,0.43,0.01,0.10,0.31,0.10,0.11,0.17,0.21,0.14
llama_2_7b-0.1-tulu_only-0.9-science_200,0.39,0.32,0.40,0.00,0.00,0.00,0.45,0.01,0.08,0.22,0.03,0.05,0.06,0.20,0.15
llama_2_7b-0.1-tulu_only-0.9-science_2500,0.48,0.57,0.44,0.00,0.00,0.00,0.53,0.01,0.10,0.28,0.39,0.44,0.65,0.35,0.42
llama_2_7b-0.2-tulu_only-0.8-science_1000,0.48,0.51,0.04,0.00,0.00,0.00,0.46,0.01,0.10,0.32,0.16,0.20,0.26,0.23,0.21
llama_2_7b-0.2-tulu_only-0.8-science_200,0.40,0.39,0.41,0.00,0.00,0.00,0.47,0.01,0.08,0.24,0.14,0.18,0.36,0.25,0.30
llama_2_7b-0.2-tulu_only-0.8-science_2500,0.49,0.59,0.45,0.00,0.00,0.00,0.54,0.01,0.10,0.28,0.42,0.48,0.69,0.35,0.43
llama_2_7b-0.3-tulu_only-0.7-science_1000,0.46,0.55,0.18,0.00,0.00,0.00,0.49,0.00,0.11,0.32,0.25,0.29,0.39,0.28,0.29
llama_2_7b-0.3-tulu_only-0.7-science_200,0.39,0.47,0.38,0.00,0.00,0.00,0.48,0.01,0.09,0.26,0.22,0.29,0.51,0.28,0.32
llama_2_7b-0.3-tulu_only-0.7-science_2500,0.52,0.58,0.43,0.00,0.00,0.00,0.54,0.01,0.10,0.29,0.42,0.48,0.71,0.36,0.42
llama_2_7b-0.4-tulu_only-0.6-science_1000,0.42,0.61,0.41,0.00,0.00,0.00,0.49,0.01,0.09,0.33,0.31,0.36,0.53,0.32,0.37
llama_2_7b-0.4-tulu_only-0.6-science_200,0.44,0.54,0.27,0.00,0.00,0.00,0.50,0.01,0.08,0.26,0.27,0.34,0.58,0.29,0.27
llama_2_7b-0.4-tulu_only-0.6-science_2500,0.49,0.62,0.43,0.00,0.00,0.00,0.54,0.01,0.09,0.29,0.40,0.45,0.74,0.36,0.42
llama_2_7b-0.5-tulu_only-0.5-science_1000,0.43,0.59,0.37,0.00,0.00,0.00,0.50,0.01,0.09,0.28,0.35,0.41,0.61,0.32,0.36
llama_2_7b-0.5-tulu_only-0.5-science_200,0.39,0.54,0.06,0.00,0.00,0.00,0.51,0.01,0.06,0.28,0.27,0.34,0.56,0.27,0.28
llama_2_7b-0.5-tulu_only-0.5-science_2500,0.49,0.59,0.39,0.00,0.00,0.00,0.54,0.00,0.07,0.25,0.43,0.49,0.71,0.35,0.41
llama_2_7b-0.6-tulu_only-0.4-science_1000,0.44,0.59,0.39,0.00,0.05,0.02,0.22,0.01,0.07,0.29,0.35,0.46,0.63,0.31,0.32
llama_2_7b-0.6-tulu_only-0.4-science_200,0.27,0.53,0.22,0.00,0.04,0.02,0.08,0.01,0.03,0.21,0.27,0.34,0.53,0.22,0.22
llama_2_7b-0.6-tulu_only-0.4-science_2500,0.41,0.55,0.40,0.00,0.06,0.03,0.49,0.01,0.06,0.25,0.39,0.47,0.68,0.33,0.40
llama_2_7b-0.7-tulu_only-0.3-science_1000,0.46,0.54,0.35,0.00,0.06,0.03,0.47,0.02,0.06,0.26,0.36,0.45,0.61,0.32,0.35
llama_2_7b-0.7-tulu_only-0.3-science_200,0.40,0.51,0.20,0.00,0.06,0.02,0.13,0.01,0.03,0.25,0.28,0.39,0.55,0.24,0.22
llama_2_7b-0.7-tulu_only-0.3-science_2500,0.48,0.47,0.38,0.00,0.07,0.03,0.48,0.02,0.07,0.25,0.34,0.43,0.66,0.32,0.36
llama_2_7b-0.8-tulu_only-0.2-science_1000,0.48,0.44,0.36,0.00,0.05,0.02,0.47,0.02,0.05,0.22,0.34,0.44,0.59,0.30,0.35
llama_2_7b-0.8-tulu_only-0.2-science_200,0.46,0.44,0.23,0.00,0.05,0.01,0.34,0.02,0.03,0.21,0.25,0.36,0.55,0.26,0.24
llama_2_7b-0.8-tulu_only-0.2-science_2500,0.50,0.31,0.36,0.00,0.07,0.02,0.49,0.02,0.05,0.20,0.33,0.44,0.61,0.29,0.32
llama_2_7b-0.9-tulu_only-0.1-science_1000,0.42,0.33,0.31,0.00,0.04,0.00,0.41,0.02,0.05,0.14,0.33,0.43,0.58,0.26,0.32
llama_2_7b-0.9-tulu_only-0.1-science_200,0.38,0.32,0.27,0.00,0.04,0.00,0.33,0.02,0.04,0.14,0.27,0.37,0.55,0.24,0.27
llama_2_7b-0.9-tulu_only-0.1-science_2500,0.45,0.30,0.32,0.00,0.04,0.00,0.41,0.02,0.05,0.14,0.31,0.41,0.56,0.26,0.30
llama_2_7b-0.975-tulu_only-0.025-science_200,0.37,0.18,0.27,0.00,0.04,0.00,0.31,0.02,0.04,0.08,0.28,0.39,0.56,0.21,0.23
llama_2_7b-0.84-tulu_only-0.16-science_2500,0.50,0.34,0.34,0.00,0.05,0.01,0.46,0.02,0.05,0.17,0.31,0.42,0.59,0.28,0.33
dare_linear-0.1-tulu_only-0.9-science_2500,0.48,0.57,0.44,0.00,0.00,0.00,0.52,0.01,0.10,0.28,0.38,0.44,0.64,0.34,0.41
dare_linear-0.2-tulu_only-0.8-science_2500,0.48,0.59,0.44,0.00,0.00,0.00,0.54,0.01,0.10,0.28,0.41,0.48,0.69,0.35,0.43
dare_linear-0.3-tulu_only-0.7-science_2500,0.52,0.59,0.42,0.00,0.00,0.00,0.54,0.01,0.10,0.28,0.41,0.48,0.71,0.36,0.42
dare_linear-0.4-tulu_only-0.6-science_2500,0.50,0.62,0.43,0.00,0.00,0.00,0.54,0.01,0.08,0.28,0.41,0.45,0.74,0.36,0.42
dare_linear-0.5-tulu_only-0.5-science_2500,0.48,0.59,0.38,0.00,0.00,0.00,0.54,0.00,0.07,0.27,0.42,0.49,0.71,0.35,0.40
dare_linear-0.6-tulu_only-0.4-science_2500,0.42,0.56,0.40,0.00,0.05,0.03,0.47,0.01,0.07,0.26,0.38,0.45,0.68,0.33,0.39
dare_linear-0.7-tulu_only-0.3-science_2500,0.48,0.45,0.38,0.00,0.06,0.02,0.49,0.02,0.06,0.24,0.36,0.44,0.64,0.32,0.37
dare_linear-0.8-tulu_only-0.2-science_2500,0.49,0.40,0.36,0.00,0.06,0.02,0.48,0.02,0.05,0.22,0.33,0.44,0.60,0.30,0.34
dare_linear-0.84-tulu_only-0.16-science_2500,0.48,0.34,0.33,0.00,0.05,0.02,0.47,0.02,0.06,0.17,0.31,0.43,0.59,0.28,0.32
dare_linear-0.9-tulu_only-0.1-science_2500,0.46,0.31,0.31,0.00,0.03,0.00,0.45,0.02,0.05,0.13,0.30,0.42,0.57,0.26,0.30
dare_ties-0.1-tulu_only-0.9-science_2500,0.47,0.57,0.42,0.00,0.00,0.00,0.53,0.01,0.10,0.29,0.39,0.44,0.63,0.34,0.40
dare_ties-0.2-tulu_only-0.8-science_2500,0.47,0.57,0.44,0.00,0.00,0.00,0.53,0.01,0.09,0.28,0.41,0.46,0.66,0.35,0.43
dare_ties-0.3-tulu_only-0.7-science_2500,0.52,0.60,0.43,0.00,0.00,0.00,0.53,0.01,0.10,0.29,0.42,0.48,0.70,0.36,0.42
dare_ties-0.4-tulu_only-0.6-science_2500,0.50,0.62,0.42,0.00,0.00,0.00,0.54,0.01,0.09,0.31,0.39,0.44,0.73,0.36,0.41
dare_ties-0.5-tulu_only-0.5-science_2500,0.48,0.60,0.39,0.00,0.00,0.00,0.54,0.00,0.07,0.26,0.44,0.50,0.72,0.35,0.42
dare_ties-0.6-tulu_only-0.4-science_2500,0.44,0.54,0.41,0.00,0.07,0.03,0.26,0.01,0.05,0.25,0.39,0.46,0.68,0.31,0.32
dare_ties-0.7-tulu_only-0.3-science_2500,0.49,0.42,0.35,0.00,0.07,0.02,0.48,0.02,0.06,0.23,0.35,0.44,0.64,0.31,0.35
dare_ties-0.8-tulu_only-0.2-science_2500,0.49,0.33,0.37,0.00,0.06,0.01,0.47,0.02,0.06,0.19,0.31,0.41,0.59,0.29,0.32
dare_ties-0.84-tulu_only-0.16-science_2500,0.45,0.24,0.36,0.00,0.05,0.01,0.46,0.02,0.05,0.17,0.33,0.42,0.58,0.27,0.28
dare_ties-0.9-tulu_only-0.1-science_2500,0.40,0.28,0.30,0.00,0.04,0.01,0.39,0.02,0.04,0.11,0.30,0.40,0.57,0.24,0.29
slerp-0.1-tulu_only-0.9-science_2500,0.47,0.57,0.44,0.00,0.00,0.00,0.53,0.01,0.10,0.28,0.39,0.44,0.65,0.34,0.42
slerp-0.2-tulu_only-0.8-science_2500,0.49,0.59,0.45,0.00,0.00,0.00,0.54,0.01,0.09,0.27,0.42,0.47,0.68,0.35,0.43
slerp-0.3-tulu_only-0.7-science_2500,0.52,0.59,0.43,0.00,0.00,0.00,0.54,0.01,0.10,0.28,0.43,0.49,0.71,0.36,0.43
slerp-0.4-tulu_only-0.6-science_2500,0.49,0.61,0.44,0.00,0.00,0.00,0.54,0.01,0.09,0.29,0.40,0.46,0.73,0.36,0.42
slerp-0.5-tulu_only-0.5-science_2500,0.49,0.59,0.40,0.00,0.00,0.00,0.54,0.00,0.07,0.25,0.43,0.49,0.71,0.35,0.42
slerp-0.6-tulu_only-0.4-science_2500,0.40,0.55,0.41,0.00,0.06,0.03,0.48,0.01,0.06,0.25,0.39,0.47,0.68,0.33,0.40
slerp-0.7-tulu_only-0.3-science_2500,0.48,0.46,0.37,0.00,0.07,0.03,0.48,0.02,0.07,0.25,0.34,0.43,0.66,0.32,0.36
slerp-0.8-tulu_only-0.2-science_2500,0.50,0.32,0.36,0.00,0.07,0.02,0.49,0.02,0.05,0.19,0.34,0.44,0.60,0.29,0.33
slerp-0.84-tulu_only-0.16-science_2500,0.50,0.35,0.35,0.00,0.05,0.01,0.46,0.02,0.05,0.17,0.32,0.42,0.59,0.29,0.33
slerp-0.9-tulu_only-0.1-science_2500,0.45,0.30,0.32,0.00,0.04,0.00,0.41,0.02,0.05,0.14,0.31,0.42,0.56,0.26,0.31
ties-0.1-tulu_only-0.9-science_2500,0.46,0.58,0.46,0.00,0.00,0.00,0.42,0.01,0.09,0.30,0.42,0.50,0.73,0.35,0.42
ties-0.2-tulu_only-0.8-science_2500,0.44,0.58,0.46,0.00,0.00,0.00,0.41,0.01,0.10,0.29,0.40,0.49,0.72,0.34,0.41
ties-0.3-tulu_only-0.7-science_2500,0.45,0.59,0.45,0.00,0.00,0.00,0.40,0.01,0.08,0.30,0.41,0.50,0.75,0.34,0.41
ties-0.4-tulu_only-0.6-science_2500,0.35,0.61,0.42,0.00,0.00,0.00,0.43,0.00,0.07,0.29,0.38,0.45,0.73,0.33,0.37
