task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,bleu,bleu,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
llama_2_7b-0.1-tulu_only-0.9-science_1000,0.38,0.49,0.01,0.00,0.00,0.00,0.42,0.01,0.10,0.31,0.10,0.11,0.17,0.20,0.13
llama_2_7b-0.1-tulu_only-0.9-science_200,0.39,0.34,0.40,0.00,0.00,0.00,0.44,0.01,0.09,0.25,0.03,0.05,0.06,0.20,0.17
llama_2_7b-0.1-tulu_only-0.9-science_2500,0.47,0.59,0.43,0.00,0.00,0.00,0.53,0.01,0.10,0.28,0.41,0.46,0.65,0.35,0.42
llama_2_7b-0.2-tulu_only-0.8-science_1000,0.36,0.54,0.03,0.00,0.00,0.00,0.43,0.01,0.09,0.32,0.15,0.17,0.27,0.22,0.21
llama_2_7b-0.2-tulu_only-0.8-science_200,0.43,0.46,0.40,0.00,0.00,0.00,0.46,0.01,0.09,0.27,0.12,0.16,0.25,0.25,0.26
llama_2_7b-0.2-tulu_only-0.8-science_2500,0.48,0.59,0.41,0.00,0.00,0.00,0.53,0.01,0.09,0.29,0.43,0.50,0.70,0.35,0.42
llama_2_7b-0.3-tulu_only-0.7-science_1000,0.27,0.56,0.26,0.00,0.00,0.00,0.46,0.01,0.10,0.32,0.21,0.23,0.37,0.26,0.26
llama_2_7b-0.3-tulu_only-0.7-science_200,0.45,0.54,0.34,0.00,0.00,0.00,0.48,0.01,0.10,0.26,0.20,0.26,0.45,0.28,0.30
llama_2_7b-0.3-tulu_only-0.7-science_2500,0.51,0.61,0.37,0.00,0.00,0.00,0.53,0.01,0.10,0.26,0.38,0.45,0.69,0.35,0.38
llama_2_7b-0.4-tulu_only-0.6-science_1000,0.39,0.62,0.23,0.00,0.00,0.00,0.47,0.01,0.08,0.31,0.28,0.35,0.48,0.29,0.29
llama_2_7b-0.4-tulu_only-0.6-science_200,0.45,0.56,0.06,0.00,0.00,0.00,0.49,0.01,0.07,0.26,0.21,0.27,0.53,0.26,0.23
llama_2_7b-0.4-tulu_only-0.6-science_2500,0.50,0.61,0.26,0.00,0.00,0.00,0.53,0.01,0.09,0.27,0.36,0.44,0.69,0.33,0.32
llama_2_7b-0.5-tulu_only-0.5-science_1000,0.47,0.61,0.07,0.00,0.00,0.00,0.48,0.01,0.07,0.28,0.32,0.38,0.55,0.28,0.30
llama_2_7b-0.5-tulu_only-0.5-science_200,0.44,0.58,0.01,0.00,0.00,0.00,0.50,0.02,0.07,0.23,0.23,0.32,0.54,0.26,0.23
llama_2_7b-0.5-tulu_only-0.5-science_2500,0.51,0.57,0.08,0.00,0.00,0.00,0.53,0.02,0.07,0.24,0.37,0.45,0.69,0.31,0.30
llama_2_7b-0.6-tulu_only-0.4-science_1000,0.47,0.57,0.13,0.00,0.00,0.00,0.45,0.02,0.06,0.24,0.35,0.42,0.60,0.29,0.30
llama_2_7b-0.6-tulu_only-0.4-science_200,0.48,0.54,0.01,0.00,0.00,0.00,0.48,0.02,0.05,0.23,0.26,0.36,0.54,0.26,0.25
llama_2_7b-0.6-tulu_only-0.4-science_2500,0.48,0.53,0.19,0.00,0.00,0.00,0.51,0.02,0.07,0.25,0.38,0.48,0.68,0.31,0.31
llama_2_7b-0.7-tulu_only-0.3-science_1000,0.48,0.50,0.03,0.00,0.00,0.00,0.42,0.03,0.05,0.22,0.31,0.42,0.59,0.26,0.27
llama_2_7b-0.7-tulu_only-0.3-science_200,0.44,0.50,0.01,0.00,0.00,0.00,0.43,0.03,0.05,0.20,0.26,0.37,0.55,0.25,0.23
llama_2_7b-0.7-tulu_only-0.3-science_2500,0.47,0.44,0.05,0.00,0.00,0.00,0.48,0.03,0.05,0.18,0.32,0.41,0.62,0.26,0.25
llama_2_7b-0.8-tulu_only-0.2-science_1000,0.45,0.39,0.03,0.00,0.02,0.00,0.38,0.03,0.04,0.19,0.28,0.39,0.57,0.24,0.23
llama_2_7b-0.8-tulu_only-0.2-science_200,0.44,0.37,0.01,0.00,0.01,0.00,0.37,0.03,0.05,0.19,0.26,0.38,0.54,0.23,0.22
llama_2_7b-0.8-tulu_only-0.2-science_2500,0.46,0.36,0.02,0.00,0.01,0.00,0.42,0.02,0.04,0.17,0.29,0.41,0.59,0.24,0.23
llama_2_7b-0.9-tulu_only-0.1-science_1000,0.41,0.25,0.03,0.00,0.01,0.00,0.33,0.02,0.04,0.10,0.24,0.36,0.56,0.20,0.17
llama_2_7b-0.9-tulu_only-0.1-science_200,0.39,0.24,0.01,0.00,0.00,0.00,0.33,0.02,0.04,0.11,0.23,0.36,0.54,0.19,0.17
llama_2_7b-0.9-tulu_only-0.1-science_2500,0.41,0.23,0.03,0.00,0.01,0.00,0.35,0.02,0.04,0.11,0.24,0.36,0.56,0.20,0.17
llama_2_7b-0.84-tulu_only-0.16-science_2500,0.45,0.32,0.02,0.00,0.01,0.00,0.39,0.02,0.04,0.14,0.27,0.40,0.57,0.22,0.21
llama_2_7b-0.975-tulu_only-0.025-science_200,0.30,0.12,0.02,0.00,0.00,0.00,0.34,0.02,0.04,0.01,0.17,0.33,0.56,0.16,0.08
