model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm,bioasq,biored,discomat,evidence_inference,multicite,mup,qasper,scierc,scifact,mean,median,invert_toxigen,Tulu Average (Other Evals),Tulu Average (Tulu Subset),Science Average,Combo,Order
llama_2_7b-tulu_all-science_none-seed_123,llama_2_7b,tulu_all,1.0,science_none,0.0,N/A,0.4666666666666667,0.38611111111111107,0.23353658536585364,0.3773078230008306,0.31,0.055,0.4995014955134596,0.5129611166500498,0.818,0.4944920440636475,0.5207147571616052,0.14568962110978412,0.3582089552238806,0.42391,0.15372,0.47823,0.0,0.33588,0.28417,0.03022,0.21269,0.49485,0.2482,0.25963,0.18200000000000005,0.30770992514780804,0.4011114677037613,0.2482,Llama 2 7B -> Tulu All Seed 123 & Science None,1.0
tulu_2_7b_continued_ft-tulu_none-science_100,tulu_2_7b_continued_ft,tulu_none,0.0,science_100,1.0,N/A,0.4435185185185185,0.38425925925925924,0.18475609756097558,0.2944991654121006,0.255,0.06,0.4749323458196838,0.49437402079475856,0.8488571428571429,0.42105263157894735,0.5581233278900898,0.14070626365395625,0.1183063511830635,0.37417,0.52168,0.61031,0.00281,0.38424,0.15489,0.02031,0.30282,0.57609,0.30313,0.35912,0.15114285714285713,0.293078277010618,0.3395718996931576,0.30313,Tulu 2 7B -> Tulu None & Science 100,0.0
llama_2_7b-tulu_none-science_upsample,llama_2_7b,tulu_none,0.0,science_upsample,1.0,N/A,0.3657407407407407,0.3148148148148149,0.09115853658536585,0.17863715703612254,0.085,0.045,0.38548639794901013,0.4141147984617576,0.7784285714285715,0.34149326805385555,0.49718747517016026,0.1210067968135853,0.0684931506849315,0.39045,0.56262,0.5467,0.00508,0.44082,0.3023,0.41751,0.27725,0.67308,0.38286,0.41279,0.22157142857142853,0.23336829085621355,0.2679512022757812,0.38286,Llama 2 7B -> Tulu None & Science Upsample,0.0
llama_2_7b-tulu_match-science_500,llama_2_7b,tulu_match,1.0,science_500,1.0,N/A,0.3990740740740741,0.3657407407407408,0.1847560975609756,0.30144190835216284,0.195,0.065,0.4638940321891468,0.4773536533257371,0.7702857142857142,0.4663402692778458,0.498532417247023,0.1473704653330794,0.32044887780548625,0.38574,0.52851,0.62585,0.00834,0.45837,0.29144,0.18833,0.36125,0.6717,0.36737,0.38574,0.22971428571428576,0.28626243504771165,0.35930573308250313,0.36737,Llama 2 7B -> Tulu Match & Science 500,1.0
llama_2_7b-tulu_none-science_100,llama_2_7b,tulu_none,0.0,science_100,1.0,N/A,0.3490740740740741,0.34629629629629627,0.11615853658536586,0.20132588188825448,0.135,0.07,0.405284147557328,0.4366187152827233,0.7981428571428572,0.30599755201958384,0.5639867310133084,0.15890919918836194,0.05093167701863354,0.42435,0.50328,0.57097,0.00926,0.37213,0.16696,0.05847,0.28571,0.38323,0.27566,0.28571,0.20185714285714285,0.2607669104392451,0.27668215080354064,0.27566,Llama 2 7B -> Tulu None & Science 100,0.0
llama_2_7b-tulu_all-science_none-seed_42,llama_2_7b,tulu_all,1.0,science_none,0.0,N/A,0.4666666666666667,0.38611111111111107,0.23353658536585364,0.3773078230008306,0.31,0.055,0.4995014955134596,0.5129611166500498,0.8205714285714286,0.4944920440636475,0.5207147571616052,0.14568962110978412,0.35447761194029853,0.41802,0.15129,0.47823,0.0,0.33588,0.28403,0.03022,0.21218,0.49485,0.24739,0.25963,0.17942857142857138,0.30770992514780804,0.400323621221885,0.24739,Llama 2 7B -> Tulu All Seed 42 & Science None,1.0
tulu_2_7b_continued_ft-tulu_none-science_1000,tulu_2_7b_continued_ft,tulu_none,0.0,science_1000,1.0,N/A,0.4462962962962964,0.36481481481481487,0.17560975609756097,0.2904876451419908,0.225,0.065,0.4701609457342259,0.49031476997578693,0.899,0.4283965728274174,0.5467768567431217,0.14140684291359548,0.12313432835820896,0.39051,0.55629,0.64509,0.0,0.52215,0.24919,0.30553,0.35685,0.67317,0.38368,0.39051,0.10099999999999998,0.2879101589629242,0.32890658063765765,0.38368,Tulu 2 7B -> Tulu None & Science 1000,0.0
llama_2_7b-tulu_all-science_none-seed_52830,llama_2_7b,tulu_all,1.0,science_none,0.0,N/A,0.4314814814814816,0.38611111111111107,0.23353658536585364,0.3773078230008306,0.31,0.055,0.4995014955134596,0.5129611166500498,0.8195714285714286,0.4944920440636475,0.5207147571616052,0.14568962110978412,0.35323383084577115,0.41802,0.15129,0.47968,0.0,0.33544,0.28403,0.03022,0.21218,0.49485,0.24748,0.25963,0.18042857142857138,0.30770992514780804,0.3958950004369209,0.24748,Llama 2 7B -> Tulu All Seed 52830 & Science None,1.0
llama_2_7b-tulu_none-science_1000,llama_2_7b,tulu_none,0.0,science_1000,1.0,N/A,0.375,0.31666666666666665,0.12317073170731707,0.20035541932959436,0.105,0.065,0.40962825808289416,0.43597778094288564,0.8465714285714285,0.32558139534883723,0.538473554014801,0.149207303642669,0.06583850931677018,0.41916,0.60983,0.61961,0.00281,0.54415,0.29879,0.26159,0.35614,0.6087,0.38526,0.4,0.15342857142857147,0.2543333773170707,0.27166321344018357,0.38526,Llama 2 7B -> Tulu None & Science 1000,0.0
tulu_2_7b_continued_ft-tulu_none-science_200,tulu_2_7b_continued_ft,tulu_none,0.0,science_200,1.0,N/A,0.42777777777777776,0.35925925925925917,0.17317073170731706,0.2683630790036061,0.235,0.065,0.465959265061957,0.4891753311494089,0.8627142857142858,0.40636474908200737,0.5530551966727973,0.1418770170879727,0.1095890410958904,0.41429,0.50537,0.59506,0.0,0.4598,0.20515,0.11357,0.34413,0.62451,0.33252,0.34639,0.13728571428571423,0.2862762783922278,0.3254243528724688,0.33252,Tulu 2 7B -> Tulu None & Science 200,0.0
llama_2_7b-tulu_all-science_100,llama_2_7b,tulu_all,1.0,science_100,1.0,N/A,0.4555555555555555,0.3898148148148148,0.23719512195121956,0.3830180240359203,0.365,0.055,0.4997863552200541,0.5148839196695627,0.8207142857142857,0.5030599755201959,0.5113937492458517,0.14303525080232238,0.3743781094527363,0.42692,0.48048,0.56704,0.00515,0.32073,0.21234,0.08569,0.28208,0.58091,0.30405,0.32073,0.17928571428571427,0.3091355044845803,0.4089346854145035,0.30405,Llama 2 7B -> Tulu All & Science 100,1.0
llama_2_7b-tulu_all-science_upsample,llama_2_7b,tulu_all,1.0,science_upsample,1.0,N/A,0.47500000000000003,0.38888888888888895,0.2149390243902439,0.3475895894862519,0.345,0.065,0.49309215211508334,0.5044153254522148,0.803,0.4883720930232558,0.4973556043209518,0.1426697521316904,0.30586766541822724,0.44663,0.53362,0.57944,0.00287,0.47103,0.24663,0.13052,0.27628,0.61261,0.34337,0.42818,0.19699999999999995,0.30338805271920877,0.39365963804547127,0.34337,Llama 2 7B -> Tulu All & Science Upsample,1.0
llama_2_7b-tulu_none-science_1000-seed_123,llama_2_7b,tulu_none,0.0,science_1000,1.0,N/A,0.36666666666666653,0.312962962962963,0.12317073170731709,0.20035541932959436,0.105,0.065,0.40962825808289416,0.43597778094288564,0.8485714285714285,0.32558139534883723,0.538473554014801,0.149207303642669,0.06459627329192547,0.41916,0.61627,0.61961,0.00281,0.54415,0.29838,0.26159,0.35614,0.60577,0.38675,0.41327,0.15142857142857147,0.25371609336645334,0.2702162672704113,0.38675,Llama 2 7B -> Tulu None Seed 123 & Science 1000,0.0
tulu_2_7b_continued_ft-tulu_match-science_100,tulu_2_7b_continued_ft,tulu_match,1.0,science_100,1.0,N/A,0.43703703703703695,0.39537037037037037,0.19756097560975608,0.37146468460181364,0.295,0.065,0.4972226178607036,0.5064805583250249,0.8405714285714285,0.5361077111383109,0.521827279497529,0.12415510811562527,0.49813200498132004,0.34222,0.45838,0.56629,0.00817,0.3135,0.1224,0.0697,0.30989,0.58216,0.28376,0.3135,0.15942857142857148,0.2991745951243003,0.4145274883181606,0.28376,Tulu 2 7B -> Tulu Match & Science 100,1.0
tulu_2_7b_continued_ft-tulu_none-science_2500,tulu_2_7b_continued_ft,tulu_none,0.0,science_2500,1.0,N/A,0.44074074074074077,0.36944444444444435,0.1548780487804878,0.24335200969083018,0.255,0.065,0.4734368323600627,0.4860418743768694,0.879,0.4259485924112607,0.5364858850213514,0.13943065000248117,0.12453300124533001,0.27154,0.54628,0.50758,0.00895,0.55457,0.29856,0.19079,0.32356,0.65049,0.35154,0.32356,0.121,0.28347281533019203,0.32756213268369694,0.35154,Tulu 2 7B -> Tulu None & Science 2500,0.0
llama_2_7b-tulu_all-science_1000,llama_2_7b,tulu_all,1.0,science_1000,1.0,N/A,0.4759259259259259,0.399074074074074,0.22926829268292684,0.3659226354706986,0.37,0.07,0.49487252528129894,0.5103261643640506,0.8272857142857143,0.5250917992656059,0.502115575424614,0.1458330910450961,0.34663341645885287,0.43892,0.50125,0.60559,0.05066,0.44088,0.23815,0.13678,0.34449,0.65158,0.35092,0.3905,0.1727142857142857,0.31080463108836637,0.40665952044266024,0.35092,Llama 2 7B -> Tulu All & Science 1000,1.0
llama_2_7b-tulu_match-science_100,llama_2_7b,tulu_match,1.0,science_100,1.0,N/A,0.39814814814814814,0.32499999999999996,0.15213414634146344,0.29229150748066396,0.175,0.06,0.4528557185586099,0.46275459336276886,0.7745714285714286,0.4614443084455324,0.51917168427638,0.14710610236134747,0.38154613466334164,0.37333,0.43238,0.59514,0.02105,0.32883,0.21648,0.09531,0.33773,0.5587,0.30974,0.32883,0.22542857142857142,0.2682915725713914,0.363235759125156,0.30974,Llama 2 7B -> Tulu Match & Science 100,1.0
llama_2_7b-tulu_none-science_1000-seed_52830,llama_2_7b,tulu_none,0.0,science_1000,1.0,N/A,0.36666666666666653,0.31666666666666665,0.12317073170731707,0.20035541932959436,0.105,0.065,0.40962825808289416,0.43597778094288564,0.8485714285714285,0.32558139534883723,0.538473554014801,0.149207303642669,0.0670807453416149,0.41916,0.61627,0.61961,0.00281,0.54415,0.29838,0.26498,0.35614,0.6087,0.38633,0.4,0.15142857142857147,0.2543333773170707,0.2705268262766225,0.38633,Llama 2 7B -> Tulu None Seed 52830 & Science 1000,0.0
tulu_2_7b_continued_ft-tulu_match-science_1000,tulu_2_7b_continued_ft,tulu_match,1.0,science_1000,1.0,N/A,0.44259259259259265,0.3694444444444444,0.2003048780487805,0.3590477803552635,0.295,0.065,0.49764990742059534,0.5039168209656744,0.8558571428571429,0.5336597307221542,0.5211825791645551,0.12208291888625827,0.4469413233458177,0.43813,0.55732,0.61539,0.0,0.34591,0.16082,0.13061,0.35569,0.66019,0.34224,0.35569,0.14414285714285713,0.29411098055180535,0.4050270963429795,0.34224,Tulu 2 7B -> Tulu Match & Science 1000,1.0
