task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,rouge1,f1_answer,f1_evidence,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
dare_linear-llama_2_7b-tulu_all_0.1-science_1000_0.9,0.42604,0.65241,0.56025,0.00268,0.01874,0.01606,0.53673,0.30105,0.11542,0.27264,0.34065,0.47086,0.53297,0.65789,0.39570,0.42604
dare_linear-llama_2_7b-tulu_all_0.1-science_100_0.9,0.42715,0.53741,0.53119,0.00000,0.03810,0.01558,0.35786,0.20988,0.06283,0.09118,0.27244,0.28025,0.34757,0.55172,0.30546,0.28025
dare_linear-llama_2_7b-tulu_all_0.1-science_200_0.9,0.37670,0.54534,0.57427,0.00000,0.00573,0.00860,0.48367,0.26253,0.14046,0.09511,0.33102,0.33110,0.40895,0.55593,0.33653,0.33110
dare_linear-llama_2_7b-tulu_all_0.1-science_2500_0.9,0.41420,0.57383,0.51731,0.00456,0.02509,0.02052,0.54052,0.26062,0.10333,0.22737,0.30243,0.44205,0.51932,0.70000,0.37334,0.41420
dare_linear-llama_2_7b-tulu_all_0.1-science_500_0.9,0.47059,0.58246,0.54819,0.00427,0.03202,0.03629,0.46701,0.30030,0.15439,0.36300,0.36842,0.40918,0.48384,0.63492,0.39368,0.40918
dare_linear-llama_2_7b-tulu_all_0.1-science_upsample_0.9,0.42789,0.58729,0.52994,0.00000,0.02286,0.01143,0.43291,0.30264,0.13210,0.31040,0.29478,0.41261,0.48908,0.68571,0.37628,0.41261
dare_linear-llama_2_7b-tulu_all_0.2-science_1000_0.8,0.45726,0.64798,0.55472,0.00452,0.01810,0.01810,0.52474,0.30321,0.10846,0.21313,0.35220,0.47297,0.54093,0.70539,0.39620,0.45726
dare_linear-llama_2_7b-tulu_all_0.2-science_100_0.8,0.45110,0.56172,0.53509,0.00000,0.03675,0.01531,0.34863,0.21135,0.07553,0.09876,0.25849,0.30943,0.36951,0.56098,0.31344,0.30943
dare_linear-llama_2_7b-tulu_all_0.2-science_200_0.8,0.41750,0.55631,0.56953,0.00000,0.00000,0.00295,0.47632,0.26223,0.12944,0.11482,0.33676,0.33648,0.40410,0.55973,0.34174,0.33676
dare_linear-llama_2_7b-tulu_all_0.2-science_2500_0.8,0.42754,0.59612,0.51827,0.00445,0.04004,0.02447,0.53772,0.26148,0.11172,0.22842,0.32675,0.43333,0.52510,0.70222,0.38033,0.42754
dare_linear-llama_2_7b-tulu_all_0.2-science_500_0.8,0.43813,0.60452,0.56307,0.00218,0.03922,0.03704,0.45797,0.29628,0.15613,0.30306,0.34257,0.43129,0.49388,0.65354,0.38962,0.43129
dare_linear-llama_2_7b-tulu_all_0.2-science_upsample_0.8,0.43018,0.60940,0.54237,0.00000,0.03240,0.02592,0.42548,0.30192,0.12651,0.30490,0.30549,0.40615,0.47410,0.68932,0.37947,0.40615
dare_linear-llama_2_7b-tulu_all_0.3-science_1000_0.7,0.46586,0.66563,0.54488,0.00435,0.02609,0.02826,0.51097,0.30394,0.09277,0.18428,0.33087,0.46725,0.51625,0.70079,0.39030,0.46586
dare_linear-llama_2_7b-tulu_all_0.3-science_100_0.7,0.43636,0.57206,0.53307,0.00147,0.05286,0.03524,0.32476,0.19922,0.06923,0.09920,0.30065,0.30664,0.38034,0.55147,0.31323,0.30664
dare_linear-llama_2_7b-tulu_all_0.3-science_200_0.7,0.43173,0.57529,0.56545,0.00000,0.00552,0.00552,0.47429,0.25416,0.12904,0.12083,0.31377,0.34496,0.40754,0.56655,0.34378,0.34496
dare_linear-llama_2_7b-tulu_all_0.3-science_2500_0.7,0.40167,0.58673,0.51247,0.00421,0.03575,0.02944,0.51829,0.27663,0.14083,0.19149,0.31496,0.43169,0.50858,0.68722,0.37252,0.40167
dare_linear-llama_2_7b-tulu_all_0.3-science_500_0.7,0.45369,0.63174,0.53981,0.00202,0.04435,0.03831,0.42149,0.29289,0.16955,0.15129,0.31762,0.43552,0.50371,0.65926,0.37429,0.42149
